accel_x[m/s^2],accel_y[m/s^2],accel_z[m/s^2],gyro_x[rad/s],gyro_y[rad/s],gyro_z[rad/s],mag_x[uT],mag_y[uT],mag_z[uT]
0.22,0.25,-0.2,0.22,0.25,-0.2,-5.34,-9.67,-7.23
0.19,0.25,-0.2,0.19,0.25,-0.2,-5.88,-9.13,-7.4
0.22,0.27,-0.21,0.22,0.27,-0.21,-6.77,-7.53,-6.54
0.22,0.27,-0.21,0.22,0.27,-0.21,-6.77,-7.53,-6.54
0.21,0.26,-0.21,0.21,0.26,-0.21,-6.41,-7.53,-8.26
0.23,0.32,-0.2,0.23,0.32,-0.2,-7.12,-7.17,-6.89
0.29,0.29,-0.21,0.29,0.29,-0.21,-6.41,-6.45,-7.57
0.32,0.31,-0.19,0.32,0.31,-0.19,-8.37,-4.84,-8.78
0.32,0.29,-0.19,0.32,0.29,-0.19,-6.23,-3.76,-7.75
0.27,0.26,-0.19,0.27,0.26,-0.19,-8.01,-6.27,-8.09
0.24,0.25,-0.19,0.24,0.25,-0.19,-8.72,-3.4,-9.12
0.22,0.22,-0.18,0.22,0.22,-0.18,-8.01,-4.12,-8.44
0.28,0.23,-0.18,0.28,0.23,-0.18,-9.26,-3.58,-8.61
0.28,0.22,-0.2,0.28,0.22,-0.2,-7.48,-3.22,-8.26
0.28,0.22,-0.2,0.28,0.22,-0.2,-7.48,-3.22,-8.26
0.31,0.23,-0.18,0.31,0.23,-0.18,-9.79,-2.33,-8.78
0.3,0.24,-0.19,0.3,0.24,-0.19,-9.43,-1.25,-8.09
0.29,0.22,-0.18,0.29,0.22,-0.18,-8.72,-1.25,-9.12
0.32,0.18,-0.17,0.32,0.18,-0.17,-10.86,-1.25,-9.12
0.35,0.09,-0.2,0.35,0.09,-0.2,-9.08,0.54,-9.47
0.33,0.07,-0.18,0.33,0.07,-0.18,-8.37,0.9,-9.47
0.29,0,-0.17,0.29,0,-0.17,-9.08,1.97,-9.81
0.3,0.1,-0.21,0.3,0.1,-0.21,-9.79,1.25,-10.16
0.32,0.13,-0.17,0.32,0.13,-0.17,-8.37,2.69,-9.47
0.28,0.11,-0.16,0.28,0.11,-0.16,-9.26,3.22,-9.64
0.28,0.11,-0.16,0.28,0.11,-0.16,-9.26,3.22,-9.64
0.31,0.16,-0.16,0.31,0.16,-0.16,-9.61,3.94,-9.64
0.34,0.11,-0.15,0.34,0.11,-0.15,-10.15,6.63,-10.16
0.32,0.08,-0.17,0.32,0.08,-0.17,-9.79,5.91,-9.12
0.3,0.11,-0.17,0.3,0.11,-0.17,-11.04,5.73,-10.67
0.27,0.09,-0.18,0.27,0.09,-0.18,-9.79,7.35,-10.84
0.3,0.05,-0.2,0.3,0.05,-0.2,-9.61,8.6,-10.67
0.32,0.05,-0.2,0.32,0.05,-0.2,-10.32,8.6,-10.67
0.33,0.04,-0.21,0.33,0.04,-0.21,-10.32,9.67,-11.36
0.32,0.06,-0.18,0.32,0.06,-0.18,-9.26,10.75,-11.7
0.34,0.05,-0.22,0.34,0.05,-0.22,-8.54,10.75,-12.05
0.34,0.05,-0.22,0.34,0.05,-0.22,-8.54,10.75,-12.05
0.34,0.05,-0.18,0.34,0.05,-0.18,-10.86,9.49,-12.56
0.36,0.09,-0.19,0.36,0.09,-0.19,-9.79,10.57,-11.53
0.34,0.03,-0.17,0.34,0.03,-0.17,-8.54,12.18,-11.02
0.33,0.05,-0.19,0.33,0.05,-0.19,-9.26,11.83,-11.36
0.34,0.02,-0.2,0.34,0.02,-0.2,-9.43,15.23,-10.84
0.34,0.02,-0.2,0.34,0.02,-0.2,-9.08,13.44,-11.88
0.32,0,-0.19,0.32,0,-0.19,-9.08,14.88,-12.56
0.29,0.01,-0.22,0.29,0.01,-0.22,-9.08,14.88,-12.91
0.29,0.02,-0.22,0.29,0.02,-0.22,-7.48,15.41,-12.39
0.31,0.04,-0.21,0.31,0.04,-0.21,-6.94,17.73,-13.6
0.31,0.04,-0.21,0.31,0.04,-0.21,-6.94,17.73,-13.6
0.34,0.1,-0.21,0.34,0.1,-0.21,-8.72,17.38,-11.88
0.36,0.09,-0.19,0.36,0.09,-0.19,-8.19,19.34,-12.05
0.32,0.1,-0.18,0.32,0.1,-0.18,-8.01,18.81,-11.88
0.32,0.06,-0.19,0.32,0.06,-0.19,-8.19,18.98,-13.77
0.31,0.06,-0.2,0.31,0.06,-0.2,-8.9,21.14,-14.12
0.32,0.1,-0.19,0.32,0.1,-0.19,-8.19,20.42,-13.77
0.34,0.05,-0.2,0.34,0.05,-0.2,-6.23,21.31,-13.26
0.32,0.13,-0.19,0.32,0.13,-0.19,-8.01,20.25,-12.22
0.32,0.1,-0.2,0.32,0.1,-0.2,-8.19,24.02,-14.46
0.33,0.07,-0.22,0.33,0.07,-0.22,-7.3,25.27,-14.29
0.33,0.07,-0.22,0.33,0.07,-0.22,-7.3,25.27,-14.29
0.32,0.09,-0.21,0.32,0.09,-0.21,-6.23,24.91,-14.63
0.28,0.05,-0.21,0.28,0.05,-0.21,-5.34,25.44,-14.46
0.24,0.06,-0.21,0.24,0.06,-0.21,-5.7,24.72,-15.49
0.24,0.06,-0.21,0.24,0.06,-0.21,-6.59,26.34,-13.6
0.23,0.08,-0.18,0.23,0.08,-0.18,-5.52,26.34,-15.66
0.23,0.06,-0.2,0.23,0.06,-0.2,-3.92,28.31,-14.12
0.25,0.09,-0.2,0.25,0.09,-0.2,-3.74,27.06,0
0.27,0.08,-0.19,0.27,0.08,-0.19,-4.45,27.77,-14.63
0.27,0.03,-0.22,0.27,0.03,-0.22,-3.38,29.56,-16.34
0.29,0.05,-0.2,0.29,0.05,-0.2,-1.07,29.75,-15.49
0.29,0.05,-0.2,0.29,0.05,-0.2,-1.07,29.75,-15.49
0.26,0.02,-0.2,0.26,0.02,-0.2,-3.74,29.56,-16.69
0.25,0.02,-0.18,0.25,0.02,-0.18,-2.85,30.81,-16.52
0.24,0,-0.18,0.24,0,-0.18,-0.89,31.72,-17.05
0.26,-0.03,-0.19,0.26,-0.03,-0.19,-1.96,32.44,-17.39
0.28,-0.02,-0.2,0.28,-0.02,-0.2,0.18,31.72,-18.08
0.27,-0.02,-0.21,0.27,-0.02,-0.21,0,33.69,-15.84
0.24,0.01,-0.19,0.24,0.01,-0.19,0.36,35.12,-17.22
0.23,0.07,-0.19,0.23,0.07,-0.19,0.53,34.22,-19.45
0.24,0.03,-0.2,0.24,0.03,-0.2,1.6,34.56,-18.08
0.23,0.05,-0.21,0.23,0.05,-0.21,0.18,35.66,-17.39
0.23,0.05,-0.21,0.23,0.05,-0.21,0.18,35.66,-17.39
0.24,0.01,-0.22,0.24,0.01,-0.22,3.92,35.47,-18.59
0.23,0,-0.21,0.23,0,-0.21,2.49,35.47,-19.62
0.22,0.01,-0.19,0.22,0.01,-0.19,3.92,37.62,-19.28
0.22,-0.01,-0.22,0.22,-0.01,-0.22,5.16,36.72,-18.77
0.21,0,-0.22,0.21,0,-0.22,7.12,39.06,-20.31
0.22,-0.02,-0.2,0.22,-0.02,-0.2,6.23,39.25,-19.45
0.22,-0.02,-0.19,0.22,-0.02,-0.19,5.52,38.53,-18.77
0.24,-0.02,-0.2,0.24,-0.02,-0.2,7.12,39.41,-18.94
0.23,0,-0.22,0.23,0,-0.22,9.08,38.88,-20.48
0.22,0,-0.21,0.22,0,-0.21,8.19,40.12,-19.28
0.22,0,-0.21,0.22,0,-0.21,8.19,40.12,-19.28
0.22,0.01,-0.21,0.22,0.01,-0.21,9.61,41.22,-19.97
0.21,0.01,-0.19,0.21,0.01,-0.19,9.08,42.81,-20.48
0.22,0.02,-0.19,0.22,0.02,-0.19,9.97,42.62,-20.31
0.22,0,-0.19,0.22,0,-0.19,9.97,40.84,-21.69
0.2,0.03,-0.23,0.2,0.03,-0.23,11.04,40.84,-19.28
0.18,0.02,-0.2,0.18,0.02,-0.2,11.04,41.56,-20.31
0.17,0.05,-0.2,0.17,0.05,-0.2,13.17,43.72,-20.66
0.16,0.04,-0.22,0.16,0.04,-0.22,11.57,43.91,-21.86
0.16,0.04,-0.21,0.16,0.04,-0.21,13.35,42.47,-21.17
0.11,0,-0.24,0.11,0,-0.24,14.77,44.97,-21.86
0.11,0,-0.24,0.11,0,-0.24,14.77,44.97,-21.86
0.09,0.07,-0.21,0.09,0.07,-0.21,15.13,44.25,-22.2
0.09,0.11,-0.21,0.09,0.11,-0.21,16.73,42.62,-22.38
0.12,0.17,-0.21,0.12,0.17,-0.21,17.08,44.44,-21.34
0.14,0.21,-0.22,0.14,0.21,-0.22,19.05,47.12,-21.17
0.22,0.14,-0.2,0.22,0.14,-0.2,17.62,45.69,-23.23
0.22,0.11,-0.2,0.22,0.11,-0.2,20.64,46.94,-22.03
0.21,0.08,-0.2,0.21,0.08,-0.2,20.64,46.22,-22.38
0.16,0.07,-0.2,0.16,0.07,-0.2,20.47,46.41,-22.89
0.17,0.05,-0.21,0.17,0.05,-0.21,20.47,46.03,-23.92
0.17,0.05,-0.22,0.17,0.05,-0.22,21.89,46.75,-23.92
0.17,0.05,-0.22,0.17,0.05,-0.22,21.89,46.75,-23.92
0.17,0.05,-0.21,0.17,0.05,-0.21,23.5,47.66,-23.75
0.14,0.11,-0.23,0.14,0.11,-0.23,23.31,47.12,-24.61
0.19,0.12,-0.25,0.19,0.12,-0.25,22.78,46.94,-24.09
0.18,0.19,-0.24,0.18,0.19,-0.24,25.45,48.19,-24.61
0.19,0.13,-0.24,0.19,0.13,-0.24,25.98,48.03,-23.75
0.24,0.13,-0.22,0.24,0.13,-0.22,27.41,49.81,-24.09
0.25,0.08,-0.22,0.25,0.08,-0.22,28.48,47.66,-25.48
0.26,0.04,-0.22,0.26,0.04,-0.22,28.12,48.38,-24.78
0.26,0.02,-0.25,0.26,0.02,-0.25,28.3,50.34,-25.31
0.24,0.02,-0.22,0.24,0.02,-0.22,31.86,50.34,-24.27
0.24,0.02,-0.22,0.24,0.02,-0.22,31.86,50.34,-24.27
0.24,-0.01,-0.23,0.24,-0.01,-0.23,31.86,48.56,-25.66
0.24,-0.03,-0.21,0.24,-0.03,-0.21,32.56,50.34,-25.66
0.22,-0.08,-0.23,0.22,-0.08,-0.23,32.38,50.53,-26.17
0.22,-0.09,-0.22,0.22,-0.09,-0.22,34.16,49.09,-24.78
0.22,-0.06,-0.23,0.22,-0.06,-0.23,33.62,50,-25.31
0.21,-0.07,-0.23,0.21,-0.07,-0.23,34.34,50.34,-27.03
0.21,-0.03,-0.26,0.21,-0.03,-0.26,37.38,48.38,-24.78
0.25,-0.01,-0.23,0.25,-0.01,-0.23,36.84,47.12,-26
0.25,0.03,-0.23,0.25,0.03,-0.23,37.56,49.28,-25.66
0.26,0.05,-0.25,0.26,0.05,-0.25,38.62,49.62,-26.69
0.26,0.05,-0.25,0.26,0.05,-0.25,38.62,49.62,-26.69
0.24,0,-0.26,0.24,0,-0.26,39.69,50.34,-27.38
0.23,-0.03,-0.25,0.23,-0.03,-0.25,40.94,48.38,-26.17
0.22,-0.07,-0.24,0.22,-0.07,-0.24,41.12,48.56,-25.66
0.18,-0.11,-0.24,0.18,-0.11,-0.24,41.47,48.91,-27.03
0.15,-0.07,-0.23,0.15,-0.07,-0.23,43.78,47.66,-26.86
0.15,0.01,-0.26,0.15,0.01,-0.26,43.06,47.66,-26.86
0.17,0.06,-0.29,0.17,0.06,-0.29,45.56,47.66,-27.2
0.25,0.03,-0.26,0.25,0.03,-0.26,45.75,48.19,-27.38
0.28,0.06,-0.27,0.28,0.06,-0.27,45.75,48.19,-28.06
0.3,-0.05,-0.27,0.3,-0.05,-0.27,46.28,48.38,-26.86
0.3,-0.05,-0.27,0.3,-0.05,-0.27,46.28,48.38,-26.86
0.3,-0.06,-0.27,0.3,-0.06,-0.27,48.59,47.84,-27.03
0.27,-0.09,-0.25,0.27,-0.09,-0.25,49.66,47.12,-27.03
0.18,-0.14,-0.25,0.18,-0.14,-0.25,51.44,47.47,-27.38
0.13,-0.08,-0.25,0.13,-0.08,-0.25,51.44,46.75,-29.09
0.12,-0.16,-0.27,0.12,-0.16,-0.27,50.38,45.69,-28.06
0.15,-0.12,-0.28,0.15,-0.12,-0.28,52.34,46.22,-27.89
0.2,-0.06,-0.27,0.2,-0.06,-0.27,52.69,45.88,-26.86
0.18,-0.06,-0.26,0.18,-0.06,-0.26,53.59,44.25,-27.72
0.18,-0.01,-0.27,0.18,-0.01,-0.27,54.81,44.78,-29.27
0.2,-0.01,-0.27,0.2,-0.01,-0.27,55.53,44.44,-29.27
0.2,-0.01,-0.27,0.2,-0.01,-0.27,55.53,44.44,-29.27
0.21,-0.04,-0.24,0.21,-0.04,-0.24,56.59,44.78,-27.55
0.18,-0.02,-0.29,0.18,-0.02,-0.29,57.84,43.91,-28.75
0.18,-0.07,-0.28,0.18,-0.07,-0.28,57.84,43.53,-27.38
0.2,-0.11,-0.28,0.2,-0.11,-0.28,58.38,43.72,-28.92
0.22,-0.1,-0.29,0.22,-0.1,-0.29,58.38,41.94,-29.27
0.23,-0.07,-0.28,0.23,-0.07,-0.28,61.06,43.19,-29.78
0.21,-0.05,-0.26,0.21,-0.05,-0.26,59.62,42.09,-30.12
0.18,-0.01,-0.25,0.18,-0.01,-0.25,60.16,41.94,-30.3
0.15,-0.02,-0.27,0.15,-0.02,-0.27,61.78,41.38,-29.44
0.14,-0.01,-0.25,0.14,-0.01,-0.25,64.25,41.03,-29.78
0.11,0.01,-0.25,0.11,0.01,-0.25,64.06,40.5,-30.3
0.11,0.02,-0.27,0.11,0.02,-0.27,63,40.12,-29.27
0.1,0.12,-0.25,0.1,0.12,-0.25,63.72,40.5,-28.58
0.19,0.07,-0.25,0.19,0.07,-0.25,64.62,39.25,-31.16
0.23,0.11,-0.26,0.23,0.11,-0.26,64.94,38.53,-29.09
0.24,0.03,-0.25,0.24,0.03,-0.25,65.31,37.81,-29.44
0.25,-0.08,-0.29,0.25,-0.08,-0.29,65.5,38.34,-30.64
0.21,-0.09,-0.27,0.21,-0.09,-0.27,69.25,37.09,-31.16
0.18,-0.19,-0.28,0.18,-0.19,-0.28,66.19,38.34,-29.61
0.18,-0.1,-0.25,0.18,-0.1,-0.25,68.19,35.28,-30.81
0.18,-0.1,-0.25,0.18,-0.1,-0.25,68.19,35.28,-30.81
0.18,-0.11,-0.25,0.18,-0.11,-0.25,69.94,35.28,-32.53
0.13,-0.12,-0.27,0.13,-0.12,-0.27,69.25,36.38,-30.81
0.13,-0.1,-0.26,0.13,-0.1,-0.26,68.88,34.56,-30.47
0.12,-0.09,-0.27,0.12,-0.09,-0.27,70.12,34.03,-30.3
0.11,-0.08,-0.26,0.11,-0.08,-0.26,71.19,34.03,-30.3
0.11,-0.07,-0.24,0.11,-0.07,-0.24,71.19,33.31,0
0.09,-0.09,-0.26,0.09,-0.09,-0.26,71.38,32.44,-30.12
0.09,-0.04,-0.24,0.09,-0.04,-0.24,72.06,32.06,-32.19
0.14,-0.08,-0.25,0.14,-0.08,-0.25,71.88,32.25,-31.33
0.13,-0.01,-0.24,0.13,-0.01,-0.24,73.12,29.2,-32.19
0.13,-0.01,-0.24,0.13,-0.01,-0.24,73.12,29.2,-32.19
0.12,-0.03,-0.24,0.12,-0.03,-0.24,73.12,29.56,-32.53
0.09,-0.01,-0.23,0.09,-0.01,-0.23,73.88,30.28,-31.16
0.1,-0.02,-0.25,0.1,-0.02,-0.25,74.75,30.11,-31.33
0.08,-0.08,-0.24,0.08,-0.08,-0.24,76.69,29.56,-31.5
0.09,-0.09,-0.24,0.09,-0.09,-0.24,74.38,29.03,-31.67
0.09,-0.08,-0.22,0.09,-0.08,-0.22,76.88,27.95,-33.38
0.1,-0.05,-0.23,0.1,-0.05,-0.23,76.19,27.59,-31.67
0.08,0,-0.24,0.08,0,-0.24,76.19,25.44,-32.34
0.07,0.11,-0.24,0.07,0.11,-0.24,76.19,25.08,-33.03
0.05,0.11,-0.22,0.05,0.11,-0.22,75.44,24.02,-31.33
0.05,0.11,-0.22,0.05,0.11,-0.22,75.44,24.02,-31.33
0.06,0.1,-0.22,0.06,0.1,-0.22,76.69,24.55,-34.59
0.07,0.05,-0.22,0.07,0.05,-0.22,76.56,22.94,-34.09
0.1,-0.04,-0.22,0.1,-0.04,-0.22,77.25,22.58,-34.44
0.12,-0.12,-0.22,0.12,-0.12,-0.22,78.12,20.25,-31.16
0.11,-0.11,-0.22,0.11,-0.11,-0.22,78.12,21.31,-33.22
0.11,-0.14,-0.21,0.11,-0.14,-0.21,77.94,19.7,-32.69
0.13,-0.11,-0.22,0.13,-0.11,-0.22,79.19,19.89,-33.22
0.1,-0.05,-0.22,0.1,-0.05,-0.22,77.94,16.84,-33.03
0.13,-0.01,-0.22,0.13,-0.01,-0.22,81.19,17.92,-33.03
0.12,-0.02,-0.22,0.12,-0.02,-0.22,80.81,16.84,-33.03
0.12,-0.02,-0.22,0.12,-0.02,-0.22,80.81,16.84,-33.03
0.14,0,-0.22,0.14,0,-0.22,80.25,16.66,-33.56
0.11,-0.04,-0.21,0.11,-0.04,-0.21,80.44,16.84,-32.69
0.1,-0.03,-0.23,0.1,-0.03,-0.23,80.25,15.23,-34.25
0.09,-0.05,-0.22,0.09,-0.05,-0.22,79.75,14.34,-34.09
0.1,-0.03,-0.2,0.1,-0.03,-0.2,80.44,13.26,-33.03
0.08,-0.02,-0.2,0.08,-0.02,-0.2,81.31,10.93,-35.28
0.07,-0.01,-0.2,0.07,-0.01,-0.2,81.88,11.11,-33.75
0.09,-0.02,-0.22,0.09,-0.02,-0.22,82.06,11.29,-35.28
0.05,-0.03,-0.23,0.05,-0.03,-0.23,81.31,10.93,-33.91
0.05,-0.06,-0.24,0.05,-0.06,-0.24,81,9.13,-32.19
0.05,-0.06,-0.24,0.05,-0.06,-0.24,81,9.13,-32.19
0.07,-0.01,-0.22,0.07,-0.01,-0.22,82.25,7.88,-33.03
0.1,0,-0.21,0.1,0,-0.21,80.81,10.75,-33.38
0.07,0.04,-0.22,0.07,0.04,-0.22,81.69,8.42,-33.91
0.06,0,-0.19,0.06,0,-0.19,81.88,8.24,-34.44
0.03,0,-0.19,0.03,0,-0.19,81.5,6.81,-34.09
-0.02,-0.06,-0.19,-0.02,-0.06,-0.19,81.19,4.66,-34.09
-0.01,-0.1,-0.21,-0.01,-0.1,-0.21,81.19,3.94,-35.81
0,-0.15,-0.22,0,-0.15,-0.22,80.06,4.66,-34.44
0.02,-0.17,-0.2,0.02,-0.17,-0.2,79.19,4.12,-33.91
-0.02,-0.13,-0.19,-0.02,-0.13,-0.19,81,1.61,-35.28
-0.02,-0.13,-0.19,-0.02,-0.13,-0.19,81,1.61,-35.28
-0.07,-0.09,-0.18,-0.07,-0.09,-0.18,81.88,1.43,-34.09
-0.12,-0.03,-0.19,-0.12,-0.03,-0.19,81,0.18,-33.91
-0.12,0.05,-0.21,-0.12,0.05,-0.21,80.62,-0.54,-34.59
-0.1,0,-0.19,-0.1,0,-0.19,80.25,-1.25,-35.97
-0.03,-0.03,-0.18,-0.03,-0.03,-0.18,80.25,-3.04,-36.31
-0.09,-0.01,-0.16,-0.09,-0.01,-0.16,79.19,-0.54,-37.69
-0.21,-0.08,-0.18,-0.21,-0.08,-0.18,79,-2.51,-36.84
-0.29,-0.06,-0.15,-0.29,-0.06,-0.15,80.25,-3.76,-34.94
-0.25,-0.05,-0.16,-0.25,-0.05,-0.16,79.75,-5.02,-35.81
-0.2,-0.03,-0.15,-0.2,-0.03,-0.15,80.25,-4.48,-35.62
-0.2,-0.03,-0.15,-0.2,-0.03,-0.15,80.25,-4.48,-35.62
-0.07,0.05,-0.14,-0.07,0.05,-0.14,80.25,-5.91,-36.31
-0.03,0.09,-0.14,-0.03,0.09,-0.14,79.19,-6.27,-35.97
0,0.11,-0.13,0,0.11,-0.13,79.19,-7.35,-35.97
-0.01,0.06,-0.12,-0.01,0.06,-0.12,79.38,-7.88,-35.47
-0.06,0.06,-0.11,-0.06,0.06,-0.11,77.06,-7.7,-37
-0.1,0.06,-0.11,-0.1,0.06,-0.11,77.25,-9.67,-35.12
-0.13,0.06,-0.1,-0.13,0.06,-0.1,77.06,-9.13,-37.69
-0.11,0.08,-0.1,-0.11,0.08,-0.1,78.88,-10.57,-35.62
-0.08,0.05,-0.1,-0.08,0.05,-0.1,77.44,-11.65,-35.62
-0.1,0.08,-0.08,-0.1,0.08,-0.08,76.69,-12.01,-35.62
-0.08,0.08,-0.09,-0.08,0.08,-0.09,76.19,-11.83,-36.5
-0.1,0.1,-0.09,-0.1,0.1,-0.09,74.94,-13.8,-36.31
-0.08,0.11,-0.11,-0.08,0.11,-0.11,74.56,-13.8,-38.03
-0.1,0.09,-0.11,-0.1,0.09,-0.11,75.31,-15.23,-37.69
-0.13,0.14,-0.11,-0.13,0.14,-0.11,75.44,-15.05,-37.53
-0.11,0.09,-0.1,-0.11,0.09,-0.1,73.69,-16.12,-38.56
-0.12,0.11,-0.07,-0.12,0.11,-0.07,74.75,-16.12,-38.56
-0.09,0.11,-0.07,-0.09,0.11,-0.07,72.81,-17.38,-37.34
-0.09,0.1,-0.06,-0.09,0.1,-0.06,73.5,-17.38,-38.03
-0.09,0.11,-0.06,-0.09,0.11,-0.06,72.81,-18.45,-37.34
-0.08,0.1,-0.07,-0.08,0.1,-0.07,72.44,-19.89,-37.69
-0.11,0.14,-0.07,-0.11,0.14,-0.07,71.19,-20.42,-37.88
-0.12,0.15,-0.04,-0.12,0.15,-0.04,70.12,-20.42,-38.22
-0.14,0.14,-0.04,-0.14,0.14,-0.04,70.81,-20.78,-37.88
-0.13,0.13,-0.06,-0.13,0.13,-0.06,69.44,-22.22,-38.91
-0.11,0.09,-0.06,-0.11,0.09,-0.06,68.88,-21.67,-38.72
-0.1,0.11,-0.04,-0.1,0.11,-0.04,68.5,-22.75,-38.38
-0.06,0.09,-0.08,-0.06,0.09,-0.08,68.88,-23.83,-38.38
0,0.04,-0.05,0,0.04,-0.05,67.12,-24.55,-40.09
-0.01,0.11,-0.04,-0.01,0.11,-0.04,66.75,-24.19,-39.06
-0.01,0.11,-0.02,-0.01,0.11,-0.02,66.19,-27.23,-39.25
-0.03,0.25,-0.01,-0.03,0.25,-0.01,65.5,-24.02,-40.28
-0.06,0.11,-0.05,-0.06,0.11,-0.05,67.25,-25.08,-40.97
-0.03,0.24,-0.02,-0.03,0.24,-0.02,64.75,-25.44,-39.94
0.08,0.11,-0.02,0.08,0.11,-0.02,64.62,-27.06,-40.78
-0.46,0.27,-0.06,-0.46,0.27,-0.06,62.84,-27.06,-40.09
-0.33,0.09,-0.02,-0.33,0.09,-0.02,62.31,-27.23,-38.56
0.4,0.4,-0.01,0.4,0.4,-0.01,61.25,-29.03,-38.91
0.12,0.09,-0.05,0.12,0.09,-0.05,61.41,-29.2,-40.78
0.17,0.26,-0.01,0.17,0.26,-0.01,59.81,-28.67,-40.62
0.23,0.09,-0.03,0.23,0.09,-0.03,60.16,-31.89,-40.97
0.17,0.2,-0.05,0.17,0.2,-0.05,58.38,-28.31,-41.31
0.21,0.17,0,0.21,0.17,0,59.09,-30.81,-41.66
0.14,-0.08,0,0.14,-0.08,0,57.84,-31.36,-41.81
-0.05,-0.02,0,-0.05,-0.02,0,56.06,-30.28,-41.12
-0.05,-0.07,0.02,-0.05,-0.07,0.02,55.72,-30.28,-41.47
-0.36,0.04,-0.04,-0.36,0.04,-0.04,55.34,-32.44,-41.81
0.02,0.1,0.05,0.02,0.1,0.05,54.12,-31.53,-43.03
-0.05,-0.04,0.04,-0.05,-0.04,0.04,53.94,-32.78,-43.22
-0.4,0.16,0.06,-0.4,0.16,0.06,53.03,-32.59,-42.34
-0.4,0.16,0.06,-0.4,0.16,0.06,53.03,-32.59,-42.34
0.08,-0.01,0.12,0.08,-0.01,0.12,51.62,-32.59,-42.34
-0.15,0.03,0.21,-0.15,0.03,0.21,51.97,-33.31,-42.69
0.33,0.28,0.34,0.33,0.28,0.34,49.66,-34.22,-42.19
0.44,0.25,0.29,0.44,0.25,0.29,49.47,-33.69,-43.72
0.58,0.62,0.31,0.58,0.62,0.31,47.69,-34.41,-44.06
1.31,0.1,0.57,1.31,0.1,0.57,46.09,-32.78,-43.91
2.72,-1.34,0.6,2.72,-1.34,0.6,43.78,-35.47,-44.06
5.18,-2.19,0.64,5.18,-2.19,0.64,45.22,-35.12,-45.44
3.88,-2.76,0.51,3.88,-2.76,0.51,43.44,-35.84,-45.44
3.15,0.64,1.2,3.15,0.64,1.2,45.03,-34.94,-45.28
3.15,0.64,1.2,3.15,0.64,1.2,45.03,-34.94,-45.28
1.08,-2.06,0.93,1.08,-2.06,0.93,42.38,-35.12,-44.41
1.34,2.14,1.17,1.34,2.14,1.17,42.38,-35.12,-45.44
1.08,-2.74,0.88,1.08,-2.74,0.88,43.59,-33.5,-45.28
1.94,0.98,1.6,1.94,0.98,1.6,43.59,-33.84,-44.59
2.11,-3.02,0.77,2.11,-3.02,0.77,46.28,-34.41,-45.78
0.69,0.53,0.73,0.69,0.53,0.73,45.03,-33.84,-45.97
1.04,-2.51,0.81,1.04,-2.51,0.81,46.81,-33.5,-45.28
3.27,2.42,3.68,3.27,2.42,3.68,46.28,-34.03,-46.12
4.31,-1.97,3.2,4.31,-1.97,3.2,48.06,-34.03,-46.12
2.26,1.69,2.96,2.26,1.69,2.96,46.81,-33.84,-47
2.26,1.69,2.96,2.26,1.69,2.96,46.81,-33.84,-47
2.1,-1.11,2.28,2.1,-1.11,2.28,49.47,-32.97,-47.5
0.17,1.38,2.03,0.17,1.38,2.03,49.12,-32.97,-47.84
0.9,-0.76,2.95,0.9,-0.76,2.95,49.66,-31.72,-48.38
1.59,0.51,6.03,1.59,0.51,6.03,51.25,-32.97,-47.84
2.35,2.61,10.62,2.35,2.61,10.62,51.97,-30.81,-48.19
3.65,2.66,8.52,3.65,2.66,8.52,53.41,-30.11,-48.19
0.55,3.47,8.68,0.55,3.47,8.68,55.72,-31.36,-47.69
1.01,1.4,7.53,1.01,1.4,7.53,54.81,-30.11,-49.22
0.26,0.79,6.72,0.26,0.79,6.72,56.06,-29.56,-50.09
1.84,0.85,8.06,1.84,0.85,8.06,57.12,-28.48,-48.72
2.48,0.89,9.23,2.48,0.89,9.23,58.75,-28.31,-49.22
2.54,1.96,9.3,2.54,1.96,9.3,60,-27.77,-50.09
3.18,2.83,10.46,3.18,2.83,10.46,60.88,-27.95,-49.22
3.09,3.07,11.48,3.09,3.07,11.48,62.47,-24.91,-50.09
2.86,0.96,10.22,2.86,0.96,10.22,63.19,-23.83,-50.09
4.79,5.41,18.06,4.79,5.41,18.06,63.72,-21.86,-50.62
4.55,6.56,25.44,4.55,6.56,25.44,66,-22.39,-51.47
7.28,11.2,35.81,7.28,11.2,35.81,67.25,-19.7,-50.62
8.45,14.14,47.28,8.45,14.14,47.28,69.56,-16.66,-52.5
10.88,26.78,72.31,10.88,26.78,72.31,72.81,-15.23,-51.81
11.84,48.75,80.88,11.84,48.75,80.88,73.31,-12.54,-52.34
12.14,20.66,61.09,12.14,20.66,61.09,74.56,-9.85,-52.16
3.8,19.69,54.94,3.8,19.69,54.94,76.56,-6.09,-50.97
3.78,37.19,64.38,3.78,37.19,64.38,77.06,-3.04,-50.78
10.76,27.48,73.62,10.76,27.48,73.62,78.88,5.2,-52.84
17.66,33.38,81.31,17.66,33.38,81.31,79,10.39,-52
9.66,11.22,60.53,9.66,11.22,60.53,78.31,17.56,-53.38
-1.65,11.69,43.5,-1.65,11.69,43.5,73.88,26.7,-51.81
0.59,10.68,33.75,0.59,10.68,33.75,72.81,31.36,-49.75
-2.91,11.74,29.77,-2.91,11.74,29.77,67.25,35.84,-48.53
-1.67,8.84,26.56,-1.67,8.84,26.56,60.69,42.47,-48.72
